name,gpu_score
0,256mb ddr radeon 9800 xt,38.0
1,7900 mod - radeon hd 6520g,610.0
2,7900 mod - radeon hd 6550d,893.0
3,a10-8q,7042.0
4,a16,5236.0
5,a16-16a,1069.0
6,a16-2b,3141.0
7,a16-2q,4583.0
8,a16-4q,4166.0
9,a40-24q,2616.0
10,a40-48q,17864.0
11,a40-6q,787.0
12,a6 micro-6500t quad-core apu with radeonr4,220.0
13,abit siluro t400,4.0
14,all-in-wonder 9000,5.0
15,all-in-wonder 9800,23.0
16,all-in-wonder radeon 8500dv,6.0
17,all-in-wonder x1800xl,30.0
18,all-in-wonder x1900,127.0
19,all-in-wonder x800 gt,84.0
20,amd ryzen z1 extreme,6988.0
21,amigamerlin 3.1-r1 for voodoo 4 4500 pci,3.0
22,asus a7000,9.0
23,asus agp-v3800pro v31.40h,5.0
24,asus eah4870x2,496.0
25,asus gtx 650 fml ii ec-egpu,721.0
26,asus v9520-x v62.11,8.0
27,b8dkmdap,4557.0
28,barco mxrt 1450,206.0
29,barco mxrt 2600,900.0
30,barco mxrt 5400,1161.0
31,barco mxrt 5450,1079.0
32,barco mxrt 5500,2702.0
33,barco mxrt 5600,2466.0
34,barco mxrt 7100,180.0
35,barco mxrt 7400,901.0
36,barco mxrt 7500,3753.0
37,barco mxrt 7600,4944.0
38,basicdisplay,70.0
39,carrizo 9874,247.0
40,citrix indirect display adapter,2366.0
41,cmp 30hx,8136.0
42,cmp 40hx,6778.0
43,connect 3d radeon x300,36.0
44,custom gpu 0405,2853.0
45,custom gpu 0932,3396.0
46,dell 8100,2.0
47,dell 8200,4.0
48,diamond x1300-pcie 256mb,70.0
49,eah5450,134.0
50,eg park,141.0
51,eizo med-x5000,3038.0
52,eizo med-xn43,3843.0
53,eizo quadro med-xn51lp,5048.0
54,eizo quadro med-xn72,8101.0
55,embedded radeon e9173,1788.0
56,eng sample: 100-000000261-50_y,2860.0
57,eng sample: 100-000000371-40_42/18_y,1965.0
58,eng sample: 100-000000534-40_y,3237.0
59,eng sample: 100-000000545-40_y,3692.0
60,extreme ax850 pro,120.0
61,firegl t2-128,31.0
62,firegl v3100,53.0
63,firegl v3200,85.0
64,firegl v3300,71.0
65,firegl v3350,69.0
66,firegl v3400,103.0
67,firegl v3600,180.0
68,firegl v5100,93.0
69,firegl v5200,115.0
70,firegl v5600,341.0
71,firegl v7100,72.0
72,firegl v7200,116.0
73,firegl v7300,128.0
74,firegl v7350,111.0
75,firegl v7600,616.0
76,firegl v7700,660.0
77,firegl v8600,839.0
78,firegl v8650,550.0
79,firegl x1,59.0
80,firemv 2200 pci,1.0
81,firemv 2200 pcie,36.0
82,firemv 2250,46.0
83,firemv 2260,117.0
84,firemv 2400 pcie,11.0
85,firemv 2450,74.0
86,firepro 2260,113.0
87,firepro 2270,142.0
88,firepro 2450,51.0
89,firepro 2460,170.0
90,firepro 3d v3700,179.0
91,firepro 3d v3750,341.0
92,firepro 3d v3800,472.0
93,firepro 3d v4800,854.0
94,firepro 3d v5700,547.0
95,firepro 3d v5800,1232.0
96,firepro 3d v7750,545.0
97,firepro 3d v7800,1867.0
98,firepro 3d v8700,1206.0
99,firepro 3d v8750,1272.0
100,firepro 3d v8800,2438.0
101,firepro 3d v9800,2812.0
102,firepro m2000,425.0
103,firepro m4000,1593.0
104,firepro m4000 mobility pro,1628.0
105,firepro m40003,1364.0
106,firepro m4100,1059.0
107,firepro m4150,949.0
108,firepro m4170,1182.0
109,firepro m5100,2103.0
110,firepro m5100 firegl v,1839.0
111,firepro m5950,1314.0
112,firepro m6000,1820.0
113,firepro m6000 mobility pro,1712.0
114,firepro m6100,2152.0
115,firepro m6100 firegl v,2875.0
116,firepro m7740,665.0
117,firepro r5000,2647.0
118,firepro rg220,335.0
119,firepro s10000,4768.0
120,firepro s7000,4524.0
121,firepro s7150,3208.0
122,firepro s9000,5059.0
123,firepro s9050,4901.0
124,firepro v3800,321.0
125,firepro v3900,640.0
126,firepro v4900,990.0
127,firepro v5700,465.0
128,firepro v5800,1176.0
129,firepro v5900,1265.0
130,firepro v7000,3162.0
131,firepro v7800,2028.0
132,firepro v7900,2305.0
133,firepro v8700,1539.0
134,firepro v8800,2281.0
135,firepro v9800,2727.0
136,firepro w2100,869.0
137,firepro w4100,1514.0
138,firepro w4170m,1033.0
139,firepro w4190m,1151.0
140,firepro w4300,2820.0
141,firepro w5000,2976.0
142,firepro w5100,2988.0
143,firepro w5130m,1410.0
144,firepro w5170m,1778.0
145,firepro w600,1671.0
146,firepro w6150m,2358.0
147,firepro w7000,4288.0
148,firepro w7000 adapter,4359.0
149,firepro w7100,5264.0
150,firepro w7170m,3162.0
151,firepro w8000,4149.0
152,firepro w8100,7333.0
153,firepro w9000,6138.0
154,firepro w9100,7580.0
155,firestream 9170,647.0
156,firestream 9250,1165.0
157,firestream 9270,1341.0
158,firestream 9370,2528.0
159,gecube radeon 7000,9.0
160,geforce 205,126.0
161,geforce 210,116.0
162,geforce 240m gt,320.0
163,geforce 256,5.0
164,geforce 305m,151.0
165,geforce 310,135.0
166,geforce 310m,116.0
167,geforce 315,156.0
168,geforce 315m,115.0
169,geforce 320m,210.0
170,geforce 405,120.0
171,geforce 410m,256.0
172,geforce 505,118.0
173,geforce 510,255.0
174,geforce 605,320.0
175,geforce 6100,27.0
176,geforce 6100 nforce 400,25.0
177,geforce 6100 nforce 405,27.0
178,geforce 6100 nforce 420,25.0
179,geforce 6100 nforce 430,23.0
180,geforce 610m,290.0
181,geforce 615,514.0
182,geforce 6150,22.0
183,geforce 6150 le,33.0
184,geforce 6150se,25.0
185,geforce 6150se nforce 430,31.0
186,geforce 6200,37.0
187,geforce 6200 a-le,32.0
188,geforce 6200 le,28.0
189,geforce 6200 turbocache,53.0
190,geforce 6200a,4.0
191,geforce 6200se turbocache,37.0
192,geforce 6500,38.0
193,geforce 6600,86.0
194,geforce 6600 gt,143.0
195,geforce 6600 le,51.0
196,geforce 6610 xl,89.0
197,geforce 6700 xl,95.0
198,geforce 6800,113.0
199,geforce 6800 gs,192.0
200,geforce 6800 gs/xt,103.0
201,geforce 6800 gt,142.0
202,geforce 6800 le,110.0
203,geforce 6800 ultra,139.0
204,geforce 6800 xe,59.0
205,geforce 6800 xt,123.0
206,geforce 7000m,13.0
207,geforce 7000m / nforce 610m,13.0
208,geforce 7025 / nforce 630a,33.0
209,geforce 7050 / nforce 610i,26.0
210,geforce 7050 / nforce 620i,42.0
211,geforce 7050 / nforce 630i,38.0
212,geforce 7050 pv / nforce 630a,31.0
213,geforce 705m,456.0
214,geforce 7100 / nforce 620i,26.0
215,geforce 7100 / nforce 630i,42.0
216,geforce 7100 gs,51.0
217,geforce 710a,473.0
218,geforce 710m,459.0
219,geforce 7150 / nforce 630i,33.0
220,geforce 7150m / nforce 630m,18.0
221,geforce 7200 gs,23.0
222,geforce 720a,614.0
223,geforce 7300 gs,79.0
224,geforce 7300 gt,137.0
225,geforce 7300 le,80.0
226,geforce 7300 se,39.0
227,geforce 7300 se/7200 gs,48.0
228,geforce 730a,770.0
229,geforce 7350 le,74.0
230,geforce 7500 le,90.0
231,geforce 7600 gs,157.0
232,geforce 7600 gt,225.0
233,geforce 7650 gs,134.0
234,geforce 770m,3246.0
235,geforce 7800 gs,177.0
236,geforce 7800 gt,244.0
237,geforce 7800 gtx,291.0
238,geforce 7900 gs,254.0
239,geforce 7900 gt,258.0
240,geforce 7900 gt/gto,247.0
241,geforce 7900 gtx,388.0
242,geforce 7950 gt,348.0
243,geforce 7950 gx2,202.0
244,geforce 7950 xtreme,288.0
245,geforce 800a,477.0
246,geforce 800m,457.0
247,geforce 8100 / nforce 720a,79.0
248,geforce 810a,655.0
249,geforce 810m,411.0
250,geforce 8200,156.0
251,geforce 8200m g,58.0
252,geforce 820a,556.0
253,geforce 820m,495.0
254,geforce 825m,782.0
255,geforce 8300,102.0
256,geforce 8300 gs,115.0
257,geforce 830a,1138.0
258,geforce 830m,1008.0
259,geforce 8400,81.0
260,geforce 8400 gs,154.0
261,geforce 8400 se,68.0
262,geforce 8400m g,59.0
263,geforce 8400m gs,109.0
264,geforce 8400m gt,67.0
265,geforce 840a,1145.0
266,geforce 840m,1091.0
267,geforce 845m,1524.0
268,geforce 8500 gt,139.0
269,geforce 8600 gs,92.0
270,geforce 8600 gt,123.0
271,geforce 8600 gts,159.0
272,geforce 8600m gs,70.0
273,geforce 8600m gt,90.0
274,geforce 8700m gt,124.0
275,geforce 8800 gs,330.0
276,geforce 8800 gt,479.0
277,geforce 8800 gts,413.0
278,geforce 8800 gts 512,568.0
279,geforce 8800 gtx,590.0
280,geforce 8800 ultra,643.0
281,geforce 8800m gts,382.0
282,geforce 8800m gtx,462.0
283,geforce 9100,82.0
284,geforce 9100m g,68.0
285,geforce 910m,601.0
286,geforce 9200,169.0
287,geforce 9200m ge,144.0
288,geforce 9200m gs,111.0
289,geforce 920a,836.0
290,geforce 920m,721.0
291,geforce 920mx,1082.0
292,geforce 9300,127.0
293,geforce 9300 / nforce 730i,129.0
294,geforce 9300 ge,80.0
295,geforce 9300 gs,102.0
296,geforce 9300 se,82.0
297,geforce 9300ge,98.0
298,geforce 9300m g,85.0
299,geforce 9300m gs,100.0
300,geforce 930a,1267.0
301,geforce 930m,1013.0
302,geforce 930mx,1288.0
303,geforce 9400,99.0
304,geforce 9400 gt,163.0
305,geforce 9400m,101.0
306,geforce 9400m g,68.0
307,geforce 940a,1107.0
308,geforce 940m,1126.0
309,geforce 940mx,1518.0
310,geforce 9450,105.0
311,geforce 945a,1852.0
312,geforce 945m,2109.0
313,geforce 9500 gs,185.0
314,geforce 9500 gt,164.0
315,geforce 9500m,104.0
316,geforce 9500m g,122.0
317,geforce 9500m gs,134.0
318,geforce 9600 gs,282.0
319,geforce 9600 gso,328.0
320,geforce 9600 gso 512,330.0
321,geforce 9600 gt,488.0
322,geforce 9600m gs,131.0
323,geforce 9600m gt,140.0
324,geforce 9600m gt / geforce gt 220m,293.0
325,geforce 9650m gs,270.0
326,geforce 9650m gt,137.0
327,geforce 9700m gt,209.0
328,geforce 9700m gts,278.0
329,geforce 9800 gt,461.0
330,geforce 9800 gt 1024mb,134.0
331,geforce 9800 gtx,769.0
332,geforce 9800 gtx+,494.0
333,geforce 9800 gtx/9800 gtx+,605.0
334,geforce 9800 gx2,798.0
335,geforce 9800 s,636.0
336,geforce 9800m gs,555.0
337,geforce 9800m gt,381.0
338,geforce 9800m gts,376.0
339,geforce 9800m gtx,454.0
340,geforce 999 gtx,84.0
341,geforce fx 5100,8.0
342,geforce fx 5200,8.0
343,geforce fx 5200 ultra,12.0
344,geforce fx 5200le,7.0
345,geforce fx 5200se,12.0
346,geforce fx 5500,8.0
347,geforce fx 5600,13.0
348,geforce fx 5600 ultra,17.0
349,geforce fx 5600xt,9.0
350,geforce fx 5700,41.0
351,geforce fx 5700 ultra,34.0
352,geforce fx 5700le,25.0
353,geforce fx 5700ve,33.0
354,geforce fx 5900,35.0
355,geforce fx 5900 ultra,41.0
356,geforce fx 5900xt,40.0
357,geforce fx 5900zt,33.0
358,geforce fx 5950 ultra,59.0
359,geforce fx go 5200,8.0
360,geforce fx go 5600,18.0
361,geforce fx go5300,13.0
362,geforce fx go5650,17.0
363,geforce fx go5700,51.0
364,geforce g 103m,63.0
365,geforce g 105m,63.0
366,geforce g100,185.0
367,geforce g102m,168.0
368,geforce g105m,122.0
369,geforce g200,136.0
370,geforce g205m,92.0
371,geforce g210,113.0
372,geforce g210m,117.0
373,geforce go 6100,18.0
374,geforce go 6150,19.0
375,geforce go 6200,15.0
376,geforce go 6400,24.0
377,geforce go 6600,69.0
378,geforce go 6600 te/6200 te,45.0
379,geforce go 6800,106.0
380,geforce go 6800 ultra,138.0
381,geforce go 7200,45.0
382,geforce go 7300,52.0
383,geforce go 7400,66.0
384,geforce go 7600,128.0
385,geforce go 7600 gt,210.0
386,geforce go 7700,148.0
387,geforce go 7800,115.0
388,geforce go 7800 gtx,210.0
389,geforce go 7900 gs,176.0
390,geforce go 7900 gtx,270.0
391,geforce go 7950 gtx,264.0
392,geforce gpu,1186.0
393,geforce gt 1030,2458.0
394,geforce gt 120,160.0
395,geforce gt 120 / 9500 gt,325.0
396,geforce gt 120m,151.0
397,geforce gt 130,381.0
398,geforce gt 130m,146.0
399,geforce gt 140,658.0
400,geforce gt 220,219.0
401,geforce gt 220m,122.0
402,geforce gt 230,323.0
403,geforce gt 230m,212.0
404,geforce gt 240,506.0
405,geforce gt 240m,213.0
406,geforce gt 320,461.0
407,geforce gt 320m,106.0
408,geforce gt 325m,170.0
409,geforce gt 330,395.0
410,geforce gt 330m,216.0
411,geforce gt 335m,382.0
412,geforce gt 340,738.0
413,geforce gt 415,251.0
414,geforce gt 415m,286.0
415,geforce gt 420,424.0
416,geforce gt 420m,397.0
417,geforce gt 425m,522.0
418,geforce gt 430,599.0
419,geforce gt 435m,536.0
420,geforce gt 440,771.0
421,geforce gt 445m,811.0
422,geforce gt 520,312.0
423,geforce gt 520m,283.0
424,geforce gt 520mx,284.0
425,geforce gt 525m,460.0
426,geforce gt 530,666.0
427,geforce gt 540m,479.0
428,geforce gt 545,1105.0
429,geforce gt 550m,573.0
430,geforce gt 555m,654.0
431,geforce gt 610,312.0
432,geforce gt 610m / gt 620m / gt 710m / gt 720m / gt,369.0
433,geforce gt 620,377.0
434,geforce gt 620m,434.0
435,geforce gt 625,353.0
436,geforce gt 625m,479.0
437,geforce gt 630,677.0
438,geforce gt 630m,538.0
439,geforce gt 635,832.0
440,geforce gt 635m,559.0
441,geforce gt 640,1177.0
442,geforce gt 640m,925.0
443,geforce gt 640m le,706.0
444,geforce gt 645,2006.0
445,geforce gt 645m,934.0
446,geforce gt 650m,1204.0
447,geforce gt 705,336.0
448,geforce gt 710,628.0
449,geforce gt 710m,444.0
450,geforce gt 720,614.0
451,geforce gt 720a,574.0
452,geforce gt 720m,460.0
453,geforce gt 730,835.0
454,geforce gt 730a,743.0
455,geforce gt 730m,815.0
456,geforce gt 735m,648.0
457,geforce gt 740,1482.0
458,geforce gt 740a,668.0
459,geforce gt 740m,797.0
460,geforce gt 745a,1241.0
461,geforce gt 745m,1091.0
462,geforce gt 750m,1331.0
463,geforce gt 755m,1689.0
464,geforce gt 820m,561.0
465,geforce gt625m,457.0
466,geforce gts 150m,504.0
467,geforce gts 160m,679.0
468,geforce gts 240,556.0
469,geforce gts 250,597.0
470,geforce gts 250m,554.0
471,geforce gts 350m,408.0
472,geforce gts 360m,654.0
473,geforce gts 450,1323.0
474,geforce gtx 1050,5036.0
475,geforce gtx 1050 (mobile),4462.0
476,geforce gtx 1050 3gb,5106.0
477,geforce gtx 1050 ti,6314.0
478,geforce gtx 1050 ti (mobile),5919.0
479,geforce gtx 1050 ti with max-q design,5353.0
480,geforce gtx 1050 with max-q design,4073.0
481,geforce gtx 1060,10074.0
482,geforce gtx 1060 (mobile),8161.0
483,geforce gtx 1060 3gb,9763.0
484,geforce gtx 1060 5gb,9094.0
485,geforce gtx 1060 with max-q design,7918.0
486,geforce gtx 1070,13497.0
487,geforce gtx 1070 (mobile),10465.0
488,geforce gtx 1070 ti,14692.0
489,geforce gtx 1070 with max-q design,9933.0
490,geforce gtx 1080,15537.0
491,geforce gtx 1080 ti,18566.0
492,geforce gtx 1080 with max-q design,11521.0
493,geforce gtx 1630,4982.0
494,geforce gtx 1650,7872.0
495,geforce gtx 1650 (mobile),6969.0
496,geforce gtx 1650 super,10162.0
497,geforce gtx 1650 ti,7539.0
498,geforce gtx 1650 ti with max-q design,6408.0
499,geforce gtx 1650 with max-q design,6170.0
500,geforce gtx 1660,11678.0
501,geforce gtx 1660 super,12752.0
502,geforce gtx 1660 ti,12916.0
503,geforce gtx 1660 ti (mobile),10187.0
504,geforce gtx 1660 ti with max-q design,8610.0
505,geforce gtx 260,1218.0
506,geforce gtx 260m,379.0
507,geforce gtx 275,1387.0
508,geforce gtx 280,1299.0
509,geforce gtx 280m,576.0
510,geforce gtx 285,1513.0
511,geforce gtx 285m,636.0
512,geforce gtx 295,1206.0
513,geforce gtx 460,2264.0
514,geforce gtx 460 se,1985.0
515,geforce gtx 460 v2,1872.0
516,geforce gtx 460m,1207.0
517,geforce gtx 465,2650.0
518,geforce gtx 470,3107.0
519,geforce gtx 470m,1953.0
520,geforce gtx 480,4107.0
521,geforce gtx 480m,1617.0
522,geforce gtx 485m,2360.0
523,geforce gtx 550 ti,1554.0
524,geforce gtx 555,1572.0
525,geforce gtx 560,2755.0
526,geforce gtx 560 se,1914.0
527,geforce gtx 560 ti,3051.0
528,geforce gtx 560m,1261.0
529,geforce gtx 570,3924.0
530,geforce gtx 570m,1864.0
531,geforce gtx 580,4602.0
532,geforce gtx 580m,2074.0
533,geforce gtx 590,3341.0
534,geforce gtx 645,1882.0
535,geforce gtx 650,1750.0
536,geforce gtx 650 ti,2525.0
537,geforce gtx 650 ti boost,3337.0
538,geforce gtx 660,4001.0
539,geforce gtx 660 ti,4429.0
540,geforce gtx 660m,1443.0
541,geforce gtx 670,5330.0
542,geforce gtx 670m,1746.0
543,geforce gtx 670mx,1951.0
544,geforce gtx 675m,1928.0
545,geforce gtx 675mx,2717.0
546,geforce gtx 680,5566.0
547,geforce gtx 680m,3228.0
548,geforce gtx 680m ky_bullet edition,3569.0
549,geforce gtx 680mx,4138.0
550,geforce gtx 690,5513.0
551,geforce gtx 745,2138.0
552,geforce gtx 750,3348.0
553,geforce gtx 750 ti,3901.0
554,geforce gtx 760,4794.0
555,geforce gtx 760 ti,5241.0
556,geforce gtx 760 ti oem,5427.0
557,geforce gtx 760a,1226.0
558,geforce gtx 760m,1720.0
559,geforce gtx 765m,1998.0
560,geforce gtx 770,5921.0
561,geforce gtx 770m,2794.0
562,geforce gtx 775m,3635.0
563,geforce gtx 780,8006.0
564,geforce gtx 780 ti,9528.0
565,geforce gtx 780m,3854.0
566,geforce gtx 850a,1050.0
567,geforce gtx 850m,2516.0
568,geforce gtx 850m - modded,1092.0
569,geforce gtx 860m,3047.0
570,geforce gtx 870m,3450.0
571,geforce gtx 880m,3818.0
572,geforce gtx 950,5336.0
573,geforce gtx 950a,2554.0
574,geforce gtx 950m,2587.0
575,geforce gtx 960,6080.0
576,geforce gtx 960a,3355.0
577,geforce gtx 960m,3377.0
578,geforce gtx 965m,3794.0
579,geforce gtx 970,9637.0
580,geforce gtx 970m,5724.0
581,geforce gtx 970xm force,6707.0
582,geforce gtx 980,11101.0
583,geforce gtx 980 ti,13808.0
584,geforce gtx 980m,7357.0
585,geforce gtx titan,8190.0
586,geforce gtx titan black,8972.0
587,geforce gtx titan x,12938.0
588,geforce gtx titan z,8942.0
589,geforce mx110,1435.0
590,geforce mx130,1835.0
591,geforce mx150,2272.0
592,geforce mx230,1835.0
593,geforce mx250,2412.0
594,geforce mx330,2434.0
595,geforce mx350,2806.0
596,geforce mx450,3735.0
597,geforce mx550,4541.0
598,geforce mx570,5729.0
599,geforce mx570 a,5993.0
600,geforce pcx 5300,6.0
601,geforce pcx 5750,35.0
602,geforce pcx 5900,34.0
603,geforce rtx 2050,7646.0
604,geforce rtx 2060,14147.0
605,geforce rtx 2060 (mobile),11355.0
606,geforce rtx 2060 12gb,15912.0
607,geforce rtx 2060 super,16533.0
608,geforce rtx 2060 with max-q design,9763.0
609,geforce rtx 2070,16152.0
610,geforce rtx 2070 (mobile),12354.0
611,geforce rtx 2070 super,18228.0
612,geforce rtx 2070 super with max-q design,13735.0
613,geforce rtx 2070 with max-q design,11665.0
614,geforce rtx 2080,18794.0
615,geforce rtx 2080 (mobile),15107.0
616,geforce rtx 2080 super,19576.0
617,geforce rtx 2080 super with max-q design,13843.0
618,geforce rtx 2080 ti,21743.0
619,geforce rtx 2080 with max-q design,13087.0
620,geforce rtx 3050 4gb laptop gpu,6757.0
621,geforce rtx 3050 6gb,10658.0
622,geforce rtx 3050 6gb laptop gpu,10336.0
623,geforce rtx 3050 8gb,12812.0
624,geforce rtx 3050 a laptop gpu,6038.0
625,geforce rtx 3050 laptop gpu,9461.0
626,geforce rtx 3050 oem,11971.0
627,geforce rtx 3050 ti laptop gpu,10141.0
628,geforce rtx 3060 12gb,17000.0
629,geforce rtx 3060 8gb,15399.0
630,geforce rtx 3060 laptop gpu,13356.0
631,geforce rtx 3060 ti,20496.0
632,geforce rtx 3070,22372.0
633,geforce rtx 3070 laptop gpu,15457.0
634,geforce rtx 3070 ti,23582.0
635,geforce rtx 3070 ti laptop gpu,17978.0
636,geforce rtx 3080,25229.0
637,geforce rtx 3080 12gb,26679.0
638,geforce rtx 3080 laptop gpu,16448.0
639,geforce rtx 3080 ti,27126.0
640,geforce rtx 3080 ti laptop gpu,19738.0
641,geforce rtx 3090,26735.0
642,geforce rtx 3090 ti,29695.0
643,geforce rtx 4050 laptop gpu,14436.0
644,geforce rtx 4060,19907.0
645,geforce rtx 4060 laptop gpu,17652.0
646,geforce rtx 4060 ti,22895.0
647,geforce rtx 4060 ti 16gb,22862.0
648,geforce rtx 4070,26980.0
649,geforce rtx 4070 laptop gpu,19533.0
650,geforce rtx 4070 super,30193.0
651,geforce rtx 4070 ti,31820.0
652,geforce rtx 4070 ti super,31648.0
653,geforce rtx 4080,34623.0
654,geforce rtx 4080 laptop gpu,25135.0
655,geforce rtx 4080 super,34218.0
656,geforce rtx 4090,38589.0
657,geforce rtx 4090 d,37631.0
658,geforce rtx 4090 laptop gpu,27717.0
659,geforce2 go,4.0
660,geforce2 gts/geforce2 pro,4.0
661,geforce2 integrated gpu,4.0
662,geforce2 mx,3.0
663,geforce2 mx 100/200,3.0
664,geforce2 mx with dvi-d and tv-out,5.0
665,geforce2 mx with tv out,3.0
666,geforce2 mx/mx 400,4.0
667,geforce2 ti,5.0
668,geforce2 ultra,6.0
669,geforce3,5.0
670,geforce3 ti 200,4.0
671,geforce3 ti 500,3.0
672,geforce4 420 go,3.0
673,geforce4 420 go 32m,5.0
674,geforce4 4200 go,4.0
675,geforce4 440,5.0
676,geforce4 440 go,4.0
677,geforce4 440 go 64m,6.0
678,geforce4 448 go,6.0
679,geforce4 mx 4000,5.0
680,geforce4 mx 420,5.0
681,geforce4 mx 440,5.0
682,geforce4 mx 440 with agp8x,5.0
683,geforce4 mx 440se,5.0
684,geforce4 mx 460,4.0
685,geforce4 mx integrated gpu,7.0
686,geforce4 ti 4200,6.0
687,geforce4 ti 4400,7.0
688,geforce4 ti 4600,6.0
689,geforce4 ti 4800,6.0
690,geforce4 ti 4800 se,7.0
691,geforce9400m,106.0
692,gf117,554.0
693,glenfly arise-gt-10c0,1007.0
694,grid gtx p40-6,4340.0
695,grid k1,651.0
696,grid k120q,293.0
697,grid k140q,728.0
698,grid k160q,628.0
699,grid k180q,534.0
700,grid k2,2737.0
701,grid k220q,912.0
702,grid k240q,2541.0
703,grid k260q,2949.0
704,grid k280q,2840.0
705,grid k520,3516.0
706,grid m10-0b,871.0
707,grid m10-0q,796.0
708,grid m10-1b,2310.0
709,grid m10-1q,3351.0
710,grid m10-2b,2363.0
711,grid m10-2q,2692.0
712,grid m10-4q,2977.0
713,grid m10-8q,1756.0
714,grid m6-0b,912.0
715,grid m6-1q,2069.0
716,grid m6-8q,3568.0
717,grid m60-0b,1838.0
718,grid m60-0q,827.0
719,grid m60-1b,4457.0
720,grid m60-1q,3695.0
721,grid m60-2q,5203.0
722,grid m60-4q,3831.0
723,grid m60-8a,5523.0
724,grid m60-8q,3884.0
725,grid p100-16q,5945.0
726,grid p100-1b,2223.0
727,grid p100-8q,3267.0
728,grid p4-1b,2151.0
729,grid p4-1q,375.0
730,grid p4-4q,6843.0
731,grid p4-8a,3206.0
732,grid p4-8q,6733.0
733,grid p40-12q,11028.0
734,grid p40-1a,4909.0
735,grid p40-24q,8719.0
736,grid p40-2b,9842.0
737,grid p40-2b4,9111.0
738,grid p40-2q,4844.0
739,grid p40-3q,681.0
740,grid p40-4q,5365.0
741,grid p40-6q,905.0
742,grid p40-8q,7432.0
743,grid p6-2q,3926.0
744,grid p6-4a,2639.0
745,grid p6-4q,4429.0
746,grid rtx6000-1b,8473.0
747,grid rtx6000-6q,21987.0
748,grid rtx6000p-4q,4283.0
749,grid rtx6000p-6q,4777.0
750,grid rtx8000-2q,3574.0
751,grid rtx8000-4q,3961.0
752,grid rtx8000p-12a,4166.0
753,grid rtx8000p-2q,3843.0
754,grid rtx8000p-4q,5174.0
755,grid t4-16q,5055.0
756,grid t4-1q,3303.0
757,grid t4-2b,2601.0
758,grid t4-2q,3451.0
759,grid t4-4q,3260.0
760,grid t4-8q,5680.0
761,grid v100-2q,3811.0
762,grid v100-8q,16.0
763,grid v100d-2q,4668.0
764,grid v100d-8q,4156.0
765,gt 430,223.0
766,incredible hd,389.0
767,incredible hd 3000,291.0
768,incredible hd 4000,517.0
769,incredible hd 4600,750.0
770,intel - express chipset g41,57.0
771,intel - express chipset q45/q43,58.0
772,intel 2nd generation sandybridge hd,169.0
773,intel 2nd generation sandybridge hd 3000,205.0
774,intel 3rd generation ivybridge hd gt1,161.0
775,intel 4th generation haswell hd,420.0
776,intel 82845g controller,2.0
777,intel 82845g/gl controller,3.0
778,intel 82845g/gl/ge/pe/gv controller,3.0
